country,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,6,32,24,9,5,51,322,283,6
North Macedonia,0,1,328,1136,761,4108,4419,3587,3636,13595,30305,21453,9363,10094,27236,22345,2910,407,696,20113,14915,11144,13033,9464,43852,28361,8715,3594,2365,2082,12991,13332,2620,1185,726,731,930,477
Northern Mariana Islands (Commonwealth of the),0,0,2,12,8,8,12,14,14,22,13,17,10,11,16,5,19,0,7,52,27,43,500,2396,1656,4650,1551,198,70,426,973,391,48,0,0,65,159,254
Norway,0,15,4884,2849,686,451,353,1578,3247,6736,15428,13558,13428,8515,24457,16997,12188,6048,6517,22323,29095,18108,60223,127225,383690,469109,158260,20338,7466,13613,8587,4176,2266,2518,4149,6066,2699,1178
"occupied Palestinian territory, including east Jerusalem",0,0,117,227,282,1817,12395,14225,21052,14626,32047,57309,24419,27922,62152,55852,12447,5966,2723,23538,63495,20936,6892,9864,54413,121231,9803,1310,645,2148,22243,20236,538,166,0,192,0,0
Oman,0,6,173,2095,8149,28637,40099,6385,13041,15849,9050,5235,5009,6860,17468,35197,22930,50353,29713,5990,1499,543,269,939,30971,44921,6898,847,512,1090,5009,2109,578,425,328,131,141,0
Other,0,699,13,0,29,0,0,0,0,0,0,4,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,8,1857,13894,53737,139841,68968,17544,16414,19923,62999,82055,65974,35583,84403,152511,103225,37456,68469,131420,87104,28960,12020,10496,123130,90513,16045,3407,2377,4811,18786,14919,3706,1170,1421,505,584,726
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,2,1517,2199,298,462,557,156,33,116,133,49,366,75,15,3
Panama,0,0,989,5211,6331,19155,31583,28068,19940,20768,31408,74826,79974,21528,14304,9810,13533,23904,32213,23121,9923,5809,5116,13529,201591,62271,9028,10616,78058,65305,36457,23812,8685,3547,11748,21617,5923,1572
Papua New Guinea,0,0,1,7,0,3,52,396,75,55,66,125,71,444,4696,5128,4791,1280,584,317,2130,9494,5464,979,987,4145,2047,480,664,236,72,95,137,477,684,532,41,70
Paraguay,0,0,64,175,725,1163,2739,11608,22958,22618,19081,25005,25750,25717,52822,63745,76443,69151,31931,6709,1495,1075,1982,3145,104368,70083,7353,1129,1627,4871,51577,8053,897,1896,209,7201,8542,1757
Peru,0,0,852,30338,117095,131134,121264,238752,169279,88880,62774,50128,115379,190488,216758,250218,168312,97916,59028,40632,24992,25657,34199,53419,908994,315916,33679,17846,16122,40750,274695,205427,42162,12201,73893,225057,27010,4438
Philippines,1,2,1543,6666,9012,19214,52853,128086,91891,69658,50931,42666,50992,50724,166921,287552,194905,184433,172768,395212,559650,248186,48443,8709,704638,115390,16747,7230,5425,12650,69370,106203,66895,57800,31993,27300,10455,3116
Pitcairn Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Poland,0,0,2055,10585,10931,10583,10877,21839,23092,252872,650194,304432,218147,193609,613627,470300,80591,7542,3044,5787,18409,118133,514444,568168,777844,779389,295939,33666,11086,7418,54744,107319,116774,46938,12329,15741,10860,40145
Portugal,0,0,5451,17833,9185,9642,9550,7495,16579,57208,141473,112267,285688,102631,27989,18275,15679,29239,93738,71208,36377,22876,53134,213001,1320256,688306,356997,288121,654535,485218,179974,77782,75566,34250,23741,14098,7328,5840
Puerto Rico,0,0,342,782,332,477,6449,8408,8751,12632,21820,21089,13514,6044,7055,24430,6365,1394,6812,24227,10737,3490,3225,97763,170906,14262,7487,60142,132911,104849,78720,70060,31819,24644,26426,43916,30837,14631
